,Date,Low,Open,Volume,High,Close,Adjusted Close,roi
0,2018-08-31,0.0617499994114041,0.062750001437962,19057500.0,0.0635000020265578,0.0622499994933604,0.0622499994933604,0.0
1,2018-09-30,0.0608421044522209,0.061631578952074,16478947.368421054,0.062526316038872,0.0614210526017765,0.0614210526017765,-0.013316416037438147
2,2018-10-31,0.0570869573756404,0.057869566037603,6766956.521739131,0.0583043490415033,0.0575217402175716,0.0575217402175716,-0.07595597292001773
3,2018-11-30,0.0560000017285347,0.0560000017285347,0.0,0.0560000017285347,0.0560000017285347,0.0560000017285347,-0.10040157133643558
4,2018-12-31,0.0560000017285347,0.0560000017285347,0.0,0.0560000017285347,0.0560000017285347,0.0560000017285347,-0.10040157133643558
5,2019-01-31,0.0554285723538625,0.0560952391298044,26936190.47619048,0.057095239027625,0.0560952387750148,0.0560952387750148,-0.09887165893072929
6,2019-02-28,0.0647894736183316,0.0659473689371033,83019473.68421052,0.0677368427185635,0.0662105271690769,0.0662105271690769,0.0636229350674762
7,2019-03-31,0.0707619041204452,0.0724761908253033,123831904.76190476,0.0742380959647042,0.0723333333929379,0.0723333333929379,0.16198126878142374
8,2019-04-30,0.0704285715307507,0.0711428565638405,26639047.61904762,0.0723333326833588,0.0712380948520841,0.0712380948520841,0.14438707521085795
9,2019-05-31,0.064181817526167,0.065227272496982,20771818.181818184,0.0662272733382203,0.0649545456875453,0.0649545456875453,0.04344652556139164
10,2019-06-30,0.0570000000298022,0.0584999993443488,28855000.0,0.0597499990835785,0.0587499989196657,0.0587499989196657,-0.056224909271975335
11,2019-07-31,,,,,,,
12,2019-08-31,,,,,,,
13,2019-09-30,,,,,,,
14,2019-10-31,,,,,,,
15,2019-11-30,,,,,,,
16,2019-12-31,,,,,,,
17,2020-01-31,,,,,,,
18,2020-02-29,,,,,,,
19,2020-03-31,,,,,,,
20,2020-04-30,,,,,,,
21,2020-05-31,,,,,,,
22,2020-06-30,,,,,,,
23,2020-07-31,,,,,,,
24,2020-08-31,,,,,,,
25,2020-09-30,,,,,,,
26,2020-10-31,,,,,,,
27,2020-11-30,,,,,,,
28,2020-12-31,,,,,,,
29,2021-01-31,,,,,,,
30,2021-02-28,,,,,,,
31,2021-03-31,,,,,,,
32,2021-04-30,,,,,,,
33,2021-05-31,,,,,,,
34,2021-06-30,,,,,,,
35,2021-07-31,,,,,,,
36,2021-08-31,,,,,,,
37,2021-09-30,,,,,,,
38,2021-10-31,,,,,,,
39,2021-11-30,,,,,,,
40,2021-12-31,,,,,,,
41,2022-01-31,,,,,,,
42,2022-02-28,,,,,,,
43,2022-03-31,,,,,,,
44,2022-04-30,,,,,,,
45,2022-05-31,,,,,,,
46,2022-06-30,,,,,,,
